ID,Rendimentos [%]
812,29.7607443220004
609,22.54402571941233
805,22.462552090131098
810,19.90308944728746
803,18.84774715924561
714,17.47065688711581
1145,17.05073186667394
520,16.12657107214186
1042,14.86353526967579
918,14.445242889167687
577,13.628851896905669
808,12.97605524192933
788,12.765790453035262
797,11.637875794848325
767,11.601457100191006
780,10.66349156097092
775,10.616895243316911
1098,10.300221425114993
726,10.134863429755265
973,9.934369473249374
784,9.741997965417562
1018,9.472625586785993
778,9.45479230961081
774,9.301050088045185
443,9.148828189554955
791,8.886972956528417
569,8.246592033094654
452,8.24142437122382
89,8.187495750948209
731,8.058336815326369
316,8.005182276623643
607,7.931288448019594
379,7.687710904380593
744,7.683513037192226
31,7.674226896791776
10,7.651015839931835
886,7.597168038708632
608,7.555020439906901
576,7.501198092721159
613,7.447856261074007
1065,7.393114958865354
315,7.373785555552473
552,7.33837938527694
29,7.322406503825706
588,7.283032351628943
887,7.280038360294099
704,7.277614151374995
648,7.191951072361193
139,7.153597662597516
462,7.064161498784759
241,7.060709499533314
90,7.060532477252951
146,7.053403004280405
638,7.05307955933573
741,7.052732883412938
966,7.029087459108975
651,7.0229970597681435
96,7.017946183303306
201,6.989173814764234
618,6.986776356419326
290,6.983315898197552
306,6.969876488314461
742,6.968205666983458
105,6.964583209655379
206,6.958826550142394
533,6.951238838642731
30,6.9470879576991855
509,6.94110935477351
740,6.928818159010691
542,6.909520486010874
624,6.888804912267998
697,6.886237793681824
144,6.842025804486142
773,6.829966603647569
91,6.773150480515665
172,6.69578874528823
213,6.675608146273701
603,6.6713002714280485
857,6.6710643243740515
214,6.6650493248658185
65,6.646791943091468
949,6.576653365484971
628,6.576609123964376
4,6.5662040441431815
721,6.541534855788307
442,6.518527682706083
652,6.444962489410509
655,6.426405648627254
124,6.423226214638651
573,6.412030969477396
455,6.404183902056587
684,6.394838984196199
50,6.394454842627802
616,6.3789326518096034
779,6.365225223740902
492,6.360808433123435
713,6.354242031196697
793,6.343441694431383
3,6.326412180667364
448,6.292589063899907
268,6.2836315172238
408,6.275931174544105
291,6.273339964095941
305,6.269167622576037
171,6.255348778989607
84,6.2459846180127485
493,6.243131804656145
16,6.240967345828433
8,6.228863236743272
663,6.227733713463601
700,6.202486725285956
435,6.188505030770726
474,6.177886272411363
145,6.1650075245489
662,6.130166332508255
545,6.12102447419149
412,6.10834362751189
413,6.096521461308875
456,6.085075164899763
701,6.084588459552961
718,6.080698916788274
620,6.06908098069969
497,6.057786478085202
665,6.050589074694482
1126,6.0501840651527505
796,6.037433213550347
407,6.037289453260602
541,5.998908714894248
445,5.998604100546838
802,5.990052631645693
222,5.980099820386751
85,5.974588641095879
737,5.969720211383459
570,5.961539636632285
1120,5.959716818894306
82,5.945720527918106
